new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,reproduction_rate,icu_patients,hosp_patients,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations_smoothed,new_people_vaccinated_smoothed,stringency_index,population
42615,41235.429,1178,933.714,0.93,10388,33634,0.0494,20.2,0,0,0,0,0,0,67.13,332915074
50046,42083.143,1115,934.857,0.93,9909,33295,0.0494,20.2,0,0,0,0,0,0,67.13,332915074
46922,41827.714,941,912,0.93,9887,31909,0.0489,20.5,0,0,0,0,0,0,67.13,332915074
43194,41624.714,983,912.571,0.94,9697,31178,0.0488,20.5,0,0,0,0,0,0,67.13,332915074
33610,41715.714,449,906,0.94,9549,31074,0.0484,20.6,0,0,0,0,0,0,67.13,332915074
33865,41719.286,494,913.429,0.95,9513,31406,0.0481,20.8,0,0,0,0,0,0,67.13,332915074
41608,41694.286,1061,888.714,0.96,9476,31129,0.0484,20.6,0,0,0,0,0,0,67.13,332915074
40188,41347.571,1052,870.714,0.95,9367,30839,0.0478,20.9,0,0,0,0,0,0,67.13,332915074
45227,40659.143,1031,858.714,0.95,9238,30311,0.0474,21.1,0,0,0,0,0,0,67.13,332915074
48266,40851.143,979,864.143,0.94,9231,29892,0.048,20.8,0,0,0,0,0,0,67.13,332915074
42905,40809.857,820,840.857,0.93,9091,28844,0.0477,20.9,0,0,0,0,0,0,67.13,332915074
30189,40321.143,440,839.571,0.91,9010,28368,0.0475,21.1,0,0,0,0,0,0,67.13,332915074
24862,39035,320,814.714,0.89,8974,28588,0.048,20.8,0,0,0,0,0,0,67.13,332915074
26407,36863.429,468,730,0.9,8974,28961,0.047,21.3,0,0,0,0,0,0,67.13,332915074
33264,35874.286,1105,737.571,0.92,8787,28781,0.0465,21.5,0,0,0,0,0,0,67.13,332915074
39177,35010,924,722.286,0.95,8592,28069,0.0445,22.5,0,0,0,0,0,0,67.13,332915074
45038,34548.857,1156,747.571,0.98,8532,27370,0.0432,23.1,0,0,0,0,0,0,67.13,332915074
45312,34892.714,749,737.429,1,8312,26510,0.0425,23.5,0,0,0,0,0,0,62.5,332915074
40008,36295.429,400,731.714,1.02,8261,26329,0.0427,23.4,0,0,0,0,0,0,62.5,332915074
33445,37521.571,423,746.429,1.03,8267,26794,0.0421,23.7,0,0,0,0,0,0,62.5,332915074
36215,38922.714,1202,851.286,1.04,8161,26941,0.0423,23.6,0,0,0,0,0,0,62.5,332915074
38969,39737.714,955,829.857,1.05,8075,26381,0.0418,23.9,0,0,0,0,0,0,62.5,332915074
