new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,reproduction_rate,icu_patients,hosp_patients,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations_smoothed,new_people_vaccinated_smoothed,stringency_index,population
345,341.857,46,60.571,0.71,345,1625,0.025,40,0,0,0,0,0,0,75,11632334
291,314.143,47,56.571,0.71,342,1614,0.024,41.7,0,0,0,0,0,0,75,11632334
279,301.429,28,53.286,0.72,345,1630,0.023,43.5,0,0,0,0,0,0,75,11632334
232,287.429,28,49.571,0.72,313,1527,0.023,43.5,0,0,0,0,0,0,75,11632334
192,286,42,43.857,0.72,277,1448,0.024,41.7,0,0,0,0,0,0,75,11632334
252,278.143,36,40.429,0.72,268,1388,0.024,41.7,0,0,0,0,0,0,75,11632334
276,266.714,26,36.143,0.72,259,1360,0.024,41.7,0,0,0,0,0,0,75,11632334
299,260.143,25,33.143,0.72,256,1296,0.025,40,0,0,0,0,0,0,75,11632334
282,258.857,43,32.571,0.73,251,1306,0.026,38.5,0,0,0,0,0,0,75,11632334
250,254.714,32,33.143,0.72,249,1304,0.026,38.5,0,0,0,0,0,0,75,11632334
113,237.714,22,32.286,0.72,223,1150,0.025,40,0,0,0,0,0,0,75,11632334
137,229.857,30,30.571,0.71,209,1050,0.023,43.5,0,0,0,0,0,0,75,11632334
257,230.571,24,28.857,0.71,187,939,0.023,43.5,0,0,0,0,0,0,75,11632334
212,221.429,42,31.143,0.71,173,892,0.022,45.5,0,0,0,0,0,0,75,11632334
125,196.571,23,30.857,0.71,168,823,0.02,50,0,0,0,0,0,0,75,11632334
195,184.143,14,26.714,0.71,164,818,0.019,52.6,0,0,0,0,0,0,75,11632334
136,167.857,19,24.857,0.71,166,821,0.019,52.6,0,0,0,0,0,0,75,11632334
98,165.714,19,24.429,0.71,172,821,0.017,58.8,0,0,0,0,0,0,75,11632334
70,156.143,17,22.571,0.71,145,739,0.017,58.8,0,0,0,0,0,0,75,11632334
82,131.143,26,22.857,0.72,137,702,0.018,55.6,0,0,0,0,0,0,75,11632334
140,120.857,18,19.429,0.73,121,647,0.017,58.8,0,0,0,0,0,0,73.15,11632334
165,126.571,14,18.143,0.75,111,573,0.017,58.8,0,0,0,0,0,0,73.15,11632334
154,120.714,15,18.286,0.76,116,576,0.016,62.5,0,0,0,0,0,0,73.15,11632334
122,118.714,11,17.143,0.77,115,575,0.016,62.5,0,0,0,0,0,0,51.85,11632334
89,117.429,13,16.286,0.78,102,527,0.016,62.5,0,0,0,0,0,0,51.85,11632334
132,126.286,10,15.286,0.79,99,484,0.015,66.7,0,0,0,0,0,0,51.85,11632334
142,134.857,7,12.571,0.79,89,479,0.014,71.4,0,0,0,0,0,0,51.85,11632334
108,130.286,10,11.429,0.79,88,425,0.013,76.9,0,0,0,0,0,0,51.85,11632334
99,120.857,4,10,0.79,82,395,0.012,83.3,0,0,0,0,0,0,51.85,11632334
111,114.714,5,8.571,0.8,85,400,0.012,83.3,0,0,0,0,0,0,51.85,11632334
71,107.429,6,7.857,0.81,75,393,0.011,90.9,0,0,0,0,0,0,51.85,11632334
55,102.571,2,6.286,0.82,67,371,0.011,90.9,0,0,0,0,0,0,51.85,11632334
89,96.429,12,6.571,0.83,60,344,0.01,100,0,0,0,0,0,0,51.85,11632334
104,91,8,6.714,0.84,52,340,0.01,100,0,0,0,0,0,0,51.85,11632334
128,93.857,12,7,0.86,50,308,0.01,100,0,0,0,0,0,0,51.85,11632334
74,90.286,1,6.571,0.87,53,292,0.01,100,0,0,0,0,0,0,51.85,11632334
0,74.429,0,5.857,0.89,50,295,0.01,100,0,0,0,0,0,0,51.85,11632334
0,64.286,0,5,0.93,42,293,0.01,100,0,0,0,0,0,0,51.85,11632334
260,93.571,17,7.143,0.98,41,281,0.01,100,0,0,0,0,0,0,51.85,11632334
88,93.429,9,6.714,0.98,40,268,0.01,100,0,0,0,0,0,0,51.85,11632334
109,94.143,4,6.143,0.97,38,256,0.009,111.1,0,0,0,0,0,0,51.85,11632334
99,90,5,5.143,0.97,36,247,0.009,111.1,0,0,0,0,0,0,51.85,11632334
103,94.143,1,5.143,0.98,34,237,0.009,111.1,0,0,0,0,0,0,51.85,11632334
86,106.429,0,5.143,0.99,36,237,0.009,111.1,0,0,0,0,0,0,51.85,11632334
66,115.857,0,5.143,1,41,244,0.009,111.1,0,0,0,0,0,0,51.85,11632334
66,88.143,15,4.857,1.01,37,222,0.009,111.1,0,0,0,0,0,0,51.85,11632334
82,87.286,7,4.571,1.02,36,203,0.009,111.1,0,0,0,0,0,0,50,11632334
89,84.429,7,5,1.04,35,187,0.009,111.1,0,0,0,0,0,0,50,11632334
129,88.714,4,4.857,1.06,32,168,0.009,111.1,0,0,0,0,0,0,50,11632334
111,89.857,6,5.571,1.08,29,170,0.009,111.1,0,0,0,0,0,0,50,11632334
178,103,0,5.571,1.09,30,170,0.009,111.1,0,0,0,0,0,0,50,11632334
42,99.571,3,6,1.1,27,169,0.009,111.1,0,0,0,0,0,0,50,11632334
0,90.143,0,3.857,1.11,32,178,0.009,111.1,0,0,0,0,0,0,50,11632334
65,87.714,2,3.143,1.13,32,165,0.01,100,0,0,0,0,0,0,50,11632334
87,87.429,2,2.429,1.17,36,160,0.01,100,0,0,0,0,0,0,50,11632334
147,90,3,2.286,1.21,32,143,0.01,100,0,0,0,0,0,0,50,11632334
112,90.143,1,1.571,1.25,28,132,0.01,100,0,0,0,0,0,0,50,11632334
238,98.714,0,1.571,1.3,27,130,0.011,90.9,0,0,0,0,0,0,50,11632334
0,92.714,0,1.143,1.31,23,138,0.011,90.9,0,0,0,0,0,0,50,11632334
74,103.286,5,1.857,1.35,27,147,0.012,83.3,0,0,0,0,0,0,50,11632334
91,107,1,1.714,1.39,27,150,0.013,76.9,0,0,0,0,0,0,50,11632334
366,146.857,7,2.429,1.44,28,147,0.015,66.7,0,0,0,0,0,0,50,11632334
261,163.143,5,2.714,1.45,28,145,0.016,62.5,0,0,0,0,0,0,50,11632334
207,176.714,0,2.571,1.45,30,161,0.017,58.8,0,0,0,0,0,0,50,11632334
0,142.714,0,2.571,1.46,31,168,0.018,55.6,0,0,0,0,0,0,50,11632334
388,198.143,5,3.286,1.49,36,181,0.019,52.6,0,0,0,0,0,0,50,11632334
164,211,0,2.571,1.49,33,172,0.022,45.5,0,0,0,0,0,0,50,11632334
369,250.714,3,2.857,1.49,41,191,0.022,45.5,0,0,0,0,0,0,50,11632334
220,229.857,4,2.429,1.48,40,203,0.022,45.5,0,0,0,0,0,0,50,11632334
352,242.857,5,2.429,1.49,41,218,0.025,40,0,0,0,0,0,0,50,11632334
528,288.714,4,3,1.49,44,210,0.024,41.7,0,0,0,0,0,0,50,11632334
299,331.429,0,3,1.49,47,211,0.026,38.5,0,0,0,0,0,0,50,11632334
402,333.429,1,2.429,1.48,52,222,0.026,38.5,0,0,0,0,0,0,50,11632334
234,343.429,11,4,1.47,49,232,0.026,38.5,0,0,0,0,0,0,52.78,11632334
673,386.857,3,4,1.46,47,263,0.027,37,0,0,0,0,0,0,61.11,11632334
671,451.286,4,4,1.44,42,267,0.029,34.5,0,0,0,0,0,0,61.11,11632334
745,507.429,1,3.429,1.41,48,253,0.029,34.5,0,0,0,0,0,0,61.11,11632334
651,525,4,3.429,1.38,56,259,0.029,34.5,0,0,0,0,0,0,61.11,11632334
447,546.143,0,3.429,1.35,58,271,0.03,33.3,0,0,0,0,0,0,61.11,11632334
465,555.143,5,4,1.32,54,290,0.03,33.3,0,0,0,0,0,0,61.11,11632334
334,569.429,2,2.714,1.3,63,265,0.03,33.3,0,0,0,0,0,0,61.11,11632334
510,546.143,7,3.286,1.27,61,293,0.031,32.3,0,0,0,0,0,0,61.11,11632334
858,572.857,2,3,1.26,65,278,0.032,31.2,0,0,0,0,0,0,61.11,11632334
768,576.143,5,3.571,1.23,69,285,0.033,30.3,0,0,0,0,0,0,57.41,11632334
617,571.286,4,3.571,1.21,67,281,0.035,28.6,0,0,0,0,0,0,57.41,11632334
751,614.714,2,3.857,1.19,69,285,0.036,27.8,0,0,0,0,0,0,62.96,11632334
468,615.143,7,4.143,1.17,73,312,0.036,27.8,0,0,0,0,0,0,62.96,11632334
388,622.857,6,4.714,1.14,77,307,0.037,27,0,0,0,0,0,0,62.96,11632334
639,641.286,15,5.857,1.12,76,301,0.037,27,0,0,0,0,0,0,58.33,11632334
544,596.429,16,7.857,1.1,74,309,0.037,27,0,0,0,0,0,0,58.33,11632334
922,618.429,8,8.286,1.08,80,312,0.037,27,0,0,0,0,0,0,58.33,11632334
756,638.286,11,9.286,1.07,82,309,0.035,28.6,0,0,0,0,0,0,58.33,11632334
454,595.857,4,9.571,1.05,86,337,0.034,29.4,0,0,0,0,0,0,58.33,11632334
211,559.143,5,9.286,1.03,91,341,0.034,29.4,0,0,0,0,0,0,58.33,11632334
363,555.571,15,10.571,1.03,89,335,0.032,31.2,0,0,0,0,0,0,58.33,11632334
582,547.429,10,9.857,1.02,83,334,0.03,33.3,0,0,0,0,0,0,58.33,11632334
699,569.571,7,8.571,1.01,82,303,0.031,32.3,0,0,0,0,0,0,58.33,11632334
716,540.143,9,8.714,1,84,314,0.031,32.3,0,0,0,0,0,0,58.33,11632334
574,514.143,3,7.571,0.99,85,310,0.031,32.3,0,0,0,0,0,0,58.33,11632334
468,516.143,4,7.571,0.99,87,312,0.031,32.3,0,0,0,0,0,0,58.33,11632334
156,508.286,4,7.429,0.99,89,320,0.03,33.3,0,0,0,0,0,0,58.33,11632334
355,507.143,0,5.286,0.99,85,282,0.03,33.3,0,0,0,0,0,0,58.33,11632334
583,507.286,-117,-12.857,0.99,81,260,0.029,34.5,0,0,0,0,0,0,58.33,11632334
470,474.571,5,-13.143,0.99,82,257,0.027,37,0,0,0,0,0,0,52.78,11632334
452,436.857,2,-14.143,1,77,252,0.026,38.5,0,0,0,0,0,0,52.78,11632334
647,447.286,5,-13.857,1.01,72,230,0.026,38.5,0,0,0,0,0,0,52.78,11632334
443,443.714,3,-14,1.02,71,233,0.026,38.5,0,0,0,0,0,0,52.78,11632334
194,449.143,1,-14.429,1.04,74,243,0.026,38.5,0,0,0,0,0,0,52.78,11632334
251,434.286,2,-14.143,1.06,68,226,0.024,41.7,0,0,0,0,0,0,52.78,11632334
424,411.571,1,2.714,1.08,60,221,0.024,41.7,0,0,0,0,0,0,52.78,11632334
633,434.857,1,2.143,1.1,58,209,0.025,40,0,0,0,0,0,0,52.78,11632334
630,460.286,2,2.143,1.13,52,215,0.026,38.5,0,0,0,0,0,0,52.78,11632334
651,460.857,5,2.143,1.15,53,215,0.026,38.5,0,0,0,0,0,0,52.78,11632334
542,475,1,1.857,1.18,53,223,0.027,37,0,0,0,0,0,0,52.78,11632334
402,504.714,2,2,1.2,52,235,0.028,35.7,0,0,0,0,0,0,52.78,11632334
372,522,3,2.143,1.23,59,260,0.028,35.7,0,0,0,0,0,0,52.78,11632334
550,540,5,2.714,1.25,60,250,0.028,35.7,0,0,0,0,0,0,52.78,11632334
877,574.857,0,2.571,1.28,65,249,0.029,34.5,0,0,0,0,0,0,52.78,11632334
969,623.286,2,2.571,1.31,67,254,0.03,33.3,0,0,0,0,0,0,52.78,11632334
941,664.714,4,2.429,1.34,68,260,0.03,33.3,0,0,0,0,0,0,52.78,11632334
977,726.857,2,2.571,1.36,71,293,0.031,32.3,0,0,0,0,0,0,52.78,11632334
851,791,2,2.571,1.37,72,318,0.032,31.2,0,0,0,0,0,0,52.78,11632334
489,807.714,3,2.571,1.38,67,315,0.034,29.4,0,0,0,0,0,0,52.78,11632334
1153,893.857,5,2.571,1.4,74,353,0.036,27.8,0,0,0,0,0,0,52.78,11632334
2028,1058.286,1,2.714,1.41,69,371,0.037,27,0,0,0,0,0,0,52.78,11632334
1673,1158.857,1,2.571,1.41,78,392,0.039,25.6,0,0,0,0,0,0,52.78,11632334
1099,1181.429,7,3,1.4,78,421,0.04,25,0,0,0,0,0,0,52.78,11632334
1547,1262.857,4,3.286,1.4,77,432,0.041,24.4,0,0,0,0,0,0,52.78,11632334
1097,1298,2,3.286,1.4,87,490,0.043,23.3,0,0,0,0,0,0,52.78,11632334
1834,1490.143,5,3.571,1.4,94,505,0.045,22.2,0,0,0,0,0,0,52.78,11632334
1661,1562.714,4,3.429,1.39,95,550,0.047,21.3,0,0,0,0,0,0,52.78,11632334
1881,1541.714,6,4.143,1.37,104,602,0.049,20.4,0,0,0,0,0,0,52.78,11632334
2208,1618.143,4,4.571,1.37,110,620,0.051,19.6,0,0,0,0,0,0,52.78,11632334
1827,1722.143,5,4.286,1.37,120,626,0.052,19.2,0,0,0,0,0,0,52.78,11632334
1376,1697.714,6,4.571,1.37,135,654,0.053,18.9,0,0,0,0,0,0,52.78,11632334
1174,1708.714,7,5.286,1.38,140,708,0.056,17.9,0,0,0,0,0,0,52.78,11632334
1762,1698.429,14,6.571,1.39,150,716,0.058,17.2,0,0,0,0,0,0,52.78,11632334
1337,1652.143,15,8.143,1.4,157,739,0.061,16.4,0,0,0,0,0,0,47.22,11632334
2607,1755.857,7,8.286,1.42,156,773,0.067,14.9,0,0,0,0,0,0,47.22,11632334
3175,1894,14,9.714,1.45,163,789,0.072,13.9,0,0,0,0,0,0,47.22,11632334
3389,2117.143,7,10,1.47,185,819,0.076,13.2,0,0,0,0,0,0,47.22,11632334
2612,2293.714,20,12,1.48,186,866,0.079,12.7,0,0,0,0,0,0,47.22,11632334
1968,2407.143,14,13,1.5,195,937,0.082,12.2,0,0,0,0,0,0,47.22,11632334
2088,2453.714,14,13,1.51,189,952,0.089,11.2,0,0,0,0,0,0,47.22,11632334
3577,2773.714,16,13.143,1.54,201,1050,0.098,10.2,0,0,0,0,0,0,47.22,11632334
5728,3219.571,18,14.714,1.56,213,1110,0.103,9.7,0,0,0,0,0,0,47.22,11632334
5385,3535.286,25,16.286,1.58,214,1191,0.11,9.1,0,0,0,0,0,0,47.22,11632334
7950,4186.857,24,18.714,1.59,228,1260,0.116,8.6,0,0,0,0,0,0,47.22,11632334
5327,4574.714,16,18.143,1.58,245,1334,0.119,8.4,0,0,0,0,0,0,47.22,11632334
3622,4811,20,19,1.58,268,1473,0.127,7.9,0,0,0,0,0,0,47.22,11632334
7360,5564.143,33,21.714,1.58,281,1622,0.133,7.5,0,0,0,0,0,0,47.22,11632334
8271,6234.714,34,24.286,1.57,313,1778,0.142,7,0,0,0,0,0,0,47.22,11632334
10448,6909,49,28.714,1.55,327,1951,0.147,6.8,0,0,0,0,0,0,47.22,11632334
10192,7595.714,32,29.714,1.54,358,2099,0.153,6.5,0,0,0,0,0,0,47.22,11632334
10964,8026.286,33,31,1.52,384,2267,0.158,6.3,0,0,0,0,0,0,47.22,11632334
9138,8570.714,21,31.714,1.5,412,2497,0.163,6.1,0,0,0,0,0,0,47.22,11632334
8227,9228.571,30,33.143,1.48,446,2773,0.166,6,0,0,0,0,0,0,54.63,11632334
9679,9559.857,46,35,1.46,487,2977,0.175,5.7,0,0,0,0,0,0,54.63,11632334
13227,10267.857,50,37.286,1.44,525,3275,0.183,5.5,0,0,0,0,0,0,54.63,11632334
16746,11167.571,49,37.286,1.42,573,3649,0.197,5.1,0,0,0,0,0,0,54.63,11632334
17568,12221.286,70,42.714,1.4,633,4056,0.211,4.7,0,0,0,0,0,0,54.63,11632334
17709,13184.857,79,49.286,1.37,694,4408,0.225,4.4,0,0,0,0,0,0,54.63,11632334
15622,14111.143,73,56.714,1.33,756,4825,0.236,4.2,0,0,0,0,0,0,54.63,11632334
12687,14748.286,89,65.143,1.3,812,5268,0.251,4,0,0,0,0,0,0,54.63,11632334
13571,15304.286,139,78.429,1.26,912,5548,0.269,3.7,0,0,0,0,0,0,54.63,11632334
21048,16421.571,132,90.143,1.21,994,5924,0.284,3.5,0,0,0,0,0,0,54.63,11632334
23921,17446.571,138,102.857,1.17,1057,6187,0.291,3.4,0,0,0,0,0,0,56.48,11632334
20056,17802,144,113.429,1.11,1105,6439,0.292,3.4,0,0,0,0,0,0,56.48,11632334
16915,17688.571,173,126.857,1.06,1161,6502,0.288,3.5,0,0,0,0,0,0,56.48,11632334
11789,17141,112,132.429,1.01,1223,6824,0.285,3.5,0,0,0,0,0,0,56.48,11632334
6337,16233.857,121,137,0.96,1302,7233,0.278,3.6,0,0,0,0,0,0,65.74,11632334
5186,15036,268,155.429,0.92,1353,7461,0.271,3.7,0,0,0,0,0,0,65.74,11632334
15672,14268,205,165.857,0.88,1412,7411,0.264,3.8,0,0,0,0,0,0,65.74,11632334
11128,12440.429,189,173.143,0.84,1428,7290,0.255,3.9,0,0,0,0,0,0,65.74,11632334
8703,10818.571,188,179.429,0.8,1459,7224,0.244,4.1,0,0,0,0,0,0,65.74,11632334
6124,9277,199,183.143,0.77,1464,6895,0.24,4.2,0,0,0,0,0,0,65.74,11632334
6621,8538.714,148,188.286,0.75,1470,6955,0.236,4.2,0,0,0,0,0,0,65.74,11632334
2393,7975.286,161,194,0.73,1474,7221,0.232,4.3,0,0,0,0,0,0,65.74,11632334
4293,7847.714,345,205,0.71,1470,7058,0.219,4.6,0,0,0,0,0,0,65.74,11632334
7916,6739.714,197,203.857,0.7,1463,6879,0.209,4.8,0,0,0,0,0,0,65.74,11632334
5002,5864.571,133,195.857,0.68,1456,7010,0.203,4.9,0,0,0,0,0,0,65.74,11632334
4619,5281.143,215,199.714,0.68,1457,6762,0.2,5,0,0,0,0,0,0,65.74,11632334
6268,5301.714,197,199.429,0.68,1423,6505,0.197,5.1,0,0,0,0,0,0,65.74,11632334
4659,5021.429,118,195.143,0.67,1439,6518,0.195,5.1,0,0,0,0,0,0,65.74,11632334
1932,4955.571,195,200,0.67,1408,6580,0.189,5.3,0,0,0,0,0,0,63.89,11632334
2734,4732.857,223,182.571,0.66,1356,6240,0.177,5.6,0,0,0,0,0,0,63.89,11632334
5182,4342.286,186,181,0.66,1323,5930,0.166,6,0,0,0,0,0,0,63.89,11632334
4477,4267.286,171,186.429,0.66,1286,5651,0.156,6.4,0,0,0,0,0,0,63.89,11632334
3416,4095.429,156,178,0.66,1256,5418,0.144,6.9,0,0,0,0,0,0,63.89,11632334
3224,3660.571,170,174.143,0.66,1201,5017,0.135,7.4,0,0,0,0,0,0,63.89,11632334
1875,3262.857,96,171,0.66,1194,5025,0.131,7.6,0,0,0,0,0,0,63.89,11632334
1123,3147.286,137,162.714,0.67,1168,5076,0.126,7.9,0,0,0,0,0,0,63.89,11632334
1901,3028.286,183,157,0.68,1105,4783,0.116,8.6,0,0,0,0,0,0,63.89,11632334
3164,2740,139,150.286,0.69,1071,4570,0.109,9.2,0,0,0,0,0,0,63.89,11632334
2565,2466.857,142,146.143,0.71,1034,4376,0.104,9.6,0,0,0,0,0,0,63.89,11632334
3297,2449.857,120,141,0.72,997,4215,0.099,10.1,0,0,0,0,0,0,63.89,11632334
3619,2506.286,122,134.143,0.74,946,3994,0.097,10.3,0,0,0,0,0,0,63.89,11632334
2151,2545.714,86,132.714,0.75,904,3989,0.096,10.4,0,0,0,0,0,0,63.89,11632334
746,2491.857,98,127.143,0.76,900,4014,0.094,10.6,0,0,0,0,0,0,63.89,11632334
1867,2487,141,121.143,0.77,854,3707,0.09,11.1,0,0,0,0,0,0,60.19,11632334
3040,2469.286,125,119.143,0.79,829,3590,0.089,11.2,0,0,0,0,0,0,60.19,11632334
2605,2475,122,116.286,0.8,786,3417,0.088,11.4,0,0,0,0,0,0,60.19,11632334
